Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783432531,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783432532,40,,Aggregated,0.000000,0.000000,570,640,650,650,670,680,690,690,690,690,690,58,0,570,495.272093075167,145.21200000308454,693.7904001679271,3056.2241379310344
1783432533,80,,Aggregated,0.000000,0.000000,530,640,650,660,690,770,820,860,860,860,860,85,0,530,483.65052468143404,145.21200000308454,861.4201999735087,3056.235294117647
1783432534,120,,Aggregated,9.000000,0.000000,660,890,1000,1100,1100,1100,1200,1200,1300,1300,1300,154,0,660,696.4724908927576,145.21200000308454,1306.7083000205457,3056.285714285714
1783432535,160,,Aggregated,38.000000,0.000000,1000,1100,1400,1500,1600,1800,1900,1900,1900,1900,1900,228,0,1000,970.3095355173247,145.21200000308454,1929.3993001338094,3056.2763157894738
1783432536,200,,Aggregated,50.666667,0.000000,1100,1400,1500,1600,1800,1900,2000,2000,2000,2000,2000,276,0,1100,1095.488967382403,145.21200000308454,2041.1554998718202,3056.300724637681
1783432537,240,,Aggregated,43.250000,0.000000,1300,1500,1700,1700,1900,2100,2700,2800,3000,3000,3000,320,0,1200,1222.9034912466886,145.21200000308454,2954.259199788794,3056.2625
1783432538,320,,Aggregated,50.000000,0.000000,1400,1700,1800,2000,2400,2600,3000,3600,3900,3900,3900,366,0,1400,1390.7874661193691,145.21200000308454,3905.516100116074,3056.273224043716
1783432539,360,,Aggregated,49.833333,0.000000,1500,1800,2000,2300,2600,3000,3800,4000,4600,4600,4600,403,0,1500,1532.334635483688,145.21200000308454,4577.227300032973,3056.2754342431763
1783432540,400,,Aggregated,48.714286,0.000000,1600,1900,2300,2300,2700,3600,4000,4500,5500,5500,5500,437,0,1600,1645.382585810621,145.21200000308454,5491.470099892467,3056.267734553776
1783432541,440,,Aggregated,48.500000,0.000000,1700,2200,2400,2600,3200,4000,4800,5900,6700,6700,6700,481,0,1700,1821.781135966765,145.21200000308454,6678.5430000163615,3152.320166320166
1783432542,480,,Aggregated,47.444444,0.000000,1800,2300,2600,2800,3700,4600,6200,6600,7200,7200,7200,523,0,1800,2017.2313133848522,145.21200000308454,7179.680399829522,3259.4455066921605
1783432543,520,,Aggregated,46.100000,0.000000,1800,2400,2700,3000,4100,5900,6700,7000,7900,7900,7900,552,0,1800,2173.5888887681845,145.21200000308454,7911.75949992612,3340.835144927536
1783432544,560,,Aggregated,48.600000,0.000000,1900,2600,3000,3200,4400,6100,7000,7500,9100,9100,9100,595,6,1900,2291.167280841384,17.738400027155876,9119.532200042158,3398.1529411764704
1783432545,600,,Aggregated,46.200000,0.000000,1900,2600,3000,3400,4600,6600,8100,8600,11000,11000,11000,696,65,1900,2299.9985566089763,8.602499961853027,10623.750400030985,3228.854885057471
1783432546,600,,Aggregated,42.300000,0.600000,1300,2300,2700,3000,4500,6400,8300,9100,11000,11000,11000,994,330,1300,1824.6294240435864,8.602499961853027,10623.750400030985,2408.79476861167
1783432547,600,,Aggregated,47.400000,4.100000,760,1900,2600,3000,4600,6700,9000,10000,12000,12000,12000,1229,523,760,1704.0693453214517,3.4977998584508896,11774.612999986857,2109.034174125305
1783432548,600,,Aggregated,58.800000,19.000000,350,1800,2600,3000,4700,7100,10000,11000,13000,13000,13000,1433,687,350,1673.7006129089298,3.4977998584508896,13089.988099876791,1948.9148639218422
